base_tag,voc_flag,baseline_ticket_count,dict_ticket_count,diff
cancel-bank_threat,0,0,69,69
cancel-bank_threat,1,12,12,0
cancel-bug,0,0,32,32
cancel-bug,1,7,7,0
cancel-content_dissatisfaction,0,0,7,7
cancel-content_dissatisfaction,1,2,2,0
cancel-email_not_received,0,0,59,59
cancel-email_not_received,1,11,11,0
cancel-expected_a_trial,0,0,104,104
cancel-expected_a_trial,1,18,18,0
cancel-false_ad,0,0,13,13
cancel-false_ad,1,4,4,0
cancel-general_dissatisfaction,0,0,540,540
cancel-general_dissatisfaction,1,94,94,0
cancel-general_login_issue,0,0,220,220
cancel-general_login_issue,1,45,45,0
cancel-green_screen_freeze,0,0,14,14
cancel-green_screen_freeze,1,3,3,0
cancel-legal_threat,0,0,33,33
cancel-legal_threat,1,2,2,0
cancel-magic_link_issue,0,0,54,54
cancel-magic_link_issue,1,4,4,0
cancel-missing_content,0,0,4,4
cancel-missing_content,1,2,2,0
cancel-mistyped_email,0,0,16,16
cancel-mistyped_email,1,4,4,0
cancel-money_back_guarantee,0,0,1,1
cancel-money_back_guarantee,1,1,1,0
cancel-no_longer_interested,0,0,1453,1453
cancel-no_longer_interested,1,274,274,0
cancel-no_reason,0,0,1113,1113
cancel-no_reason,1,259,260,1
cancel-paid_but_no_access,0,0,77,77
cancel-paid_but_no_access,1,10,10,0
cancel-unauthorized_claims,0,0,1264,1264
cancel-unauthorized_claims,1,199,199,0
cancel-unaware_of_subscription,0,0,203,203
cancel-unaware_of_subscription,1,43,43,0
cancel-unexpected_charges,0,0,324,324
cancel-unexpected_charges,1,43,43,0
cancel-unexpected_charges_upsells,0,0,135,135
cancel-unexpected_charges_upsells,1,17,17,0
cancel-upset_with_autorenewal,0,0,255,255
cancel-upset_with_autorenewal,1,43,43,0
deletion-email_not_received,0,0,1,1
deletion-email_not_received,1,1,1,0
deletion-general_dissatisfaction,0,0,7,7
deletion-general_dissatisfaction,1,1,1,0
deletion-legal_threat,0,0,224,224
deletion-legal_threat,1,85,85,0
deletion-no_longer_interested,0,0,21,21
deletion-no_longer_interested,1,7,7,0
deletion-no_reason,0,0,1726,1726
deletion-no_reason,1,327,327,0
deletion-unauthorized_claims,0,0,27,27
deletion-unauthorized_claims,1,5,5,0
feedback-ai_dissatisfaction,0,0,6,6
feedback-ai_dissatisfaction,1,1,1,0
feedback-audio_feedback,0,0,29,29
feedback-audio_feedback,1,3,3,0
feedback-content_too_easy,0,0,7,7
feedback-content_too_easy,1,1,1,0
feedback-missing_content,0,0,17,17
feedback-missing_content,1,1,1,0
feedback-not_interactive,0,0,8,8
feedback-not_interactive,1,1,1,0
feedback-other,0,0,157,157
feedback-other,1,20,20,0
feedback-ux_feedback,0,0,42,42
feedback-ux_feedback,1,6,6,0
issues-audio_issues,0,0,524,524
issues-audio_issues,1,86,86,0
issues-broken_content,0,0,140,140
issues-broken_content,1,24,24,0
issues-bug,0,0,64,64
issues-bug,1,16,16,0
issues-content_mistakes,0,0,77,77
issues-content_mistakes,1,40,40,0
issues-daily_streaks,0,0,8,8
issues-daily_streaks,1,1,1,0
issues-email_not_received,0,0,508,508
issues-email_not_received,1,60,60,0
issues-general_login_issue,0,0,495,495
issues-general_login_issue,1,69,69,0
issues-green_screen_freeze,0,0,17,17
issues-green_screen_freeze,1,7,7,0
issues-magic_link_issue,0,0,600,600
issues-magic_link_issue,1,74,74,0
issues-mistyped_email,0,0,69,69
issues-mistyped_email,1,12,12,0
issues-other,0,0,1672,1672
issues-other,1,337,338,1
issues-paid_but_no_access,0,0,880,880
issues-paid_but_no_access,1,117,117,0
issues-smth_went_wrong_screen,0,0,10,10
issues-smth_went_wrong_screen,1,7,7,0
refund-ai_dissatisfaction,0,0,35,35
refund-ai_dissatisfaction,1,2,2,0
refund-bank_threat,0,0,238,238
refund-bank_threat,1,43,43,0
refund-broken_content,0,0,14,14
refund-broken_content,1,2,2,0
refund-bug,0,0,40,40
refund-bug,1,6,6,0
refund-content_dissatisfaction,0,0,85,85
refund-content_dissatisfaction,1,11,11,0
refund-content_too_easy,0,0,42,42
refund-content_too_easy,1,8,8,0
refund-email_not_received,0,0,91,91
refund-email_not_received,1,8,8,0
refund-expected_a_trial,0,0,363,363
refund-expected_a_trial,1,65,65,0
refund-false_ad,0,0,148,148
refund-false_ad,1,20,20,0
refund-feature_request,0,0,2,2
refund-feature_request,1,1,1,0
refund-font_size,0,0,1,1
refund-font_size,1,1,1,0
refund-general_dissatisfaction,0,0,679,679
refund-general_dissatisfaction,1,108,108,0
refund-general_login_issue,0,0,107,107
refund-general_login_issue,1,19,19,0
refund-legal_threat,0,0,50,50
refund-legal_threat,1,10,10,0
refund-magic_link_issue,0,0,78,78
refund-magic_link_issue,1,10,10,0
refund-missing_content,0,0,16,16
refund-missing_content,1,4,4,0
refund-mistyped_email,0,0,28,28
refund-mistyped_email,1,1,1,0
refund-money_back_guarantee,0,0,249,249
refund-money_back_guarantee,1,30,30,0
refund-no_longer_interested,0,0,570,570
refund-no_longer_interested,1,111,111,0
refund-no_reason,0,0,391,391
refund-no_reason,1,86,86,0
refund-not_interactive,0,0,21,21
refund-not_interactive,1,2,2,0
refund-paid_but_no_access,0,0,208,208
refund-paid_but_no_access,1,46,46,0
refund-smth_went_wrong_screen,0,0,5,5
refund-smth_went_wrong_screen,1,1,1,0
refund-too_boring,0,0,4,4
refund-too_boring,1,2,2,0
refund-unauthorized_claims,0,0,3899,3899
refund-unauthorized_claims,1,808,808,0
refund-unaware_of_subscription,0,0,229,229
refund-unaware_of_subscription,1,55,56,1
refund-unexpected_charges,0,0,2280,2280
refund-unexpected_charges,1,317,317,0
refund-unexpected_charges_upsells,0,0,1836,1836
refund-unexpected_charges_upsells,1,246,246,0
refund-upset_with_autorenewal,0,0,370,370
refund-upset_with_autorenewal,1,95,96,1
refund-video_issues,0,0,5,5
refund-video_issues,1,1,1,0
theoretical_question-course_request,0,0,274,274
theoretical_question-course_request,1,58,58,0
theoretical_question-discount_request,0,0,237,237
theoretical_question-discount_request,1,55,55,0
theoretical_question-font_size,0,0,3,3
theoretical_question-font_size,1,1,1,0
theoretical_question-language_support,0,0,273,273
theoretical_question-language_support,1,66,67,1
theoretical_question-no_details,0,0,686,686
theoretical_question-no_details,1,138,140,2
